n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,emissions
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,BPR,general,0.0216764692531886
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,CFKG,knowledge,0.0062188135414593
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,CKE,knowledge,0.0154771129904284
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,DGCF,general,0.8817400794597952
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,DMF,general,0.0108779316340237
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,ItemKNN,general,0.0066549795939184
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,KGCN,knowledge,0.0276703209113942
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,KGNNLS,knowledge,0.0282894337182364
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,LINE,general,0.0070835907994264
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,LightGCN,general,0.0853914034323417
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,MultiDAE,general,0.0327208654957679
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,NGCF,general,0.0493834832664526
19841,42457,900212,0.9989313587429705,50665,5,46827,816701,4,27.40580368041992,1.0,RippleNet,knowledge,0.0219332975927383
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,BPR,general,0.0037236591835032
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,CFKG,knowledge,0.0030457506827599
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,CKE,knowledge,0.0045667146401967
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,DGCF,general,0.039491628418431
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,DMF,general,0.0047889203610706
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,ItemKNN,general,0.0018916251934394
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,KGCN,knowledge,0.0099333789117285
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,KGNNLS,knowledge,0.0101843961259433
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,LINE,general,0.0032210421999563
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,LightGCN,general,0.0166605691742945
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,MultiDAE,general,0.0086460364043928
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,NGCF,general,0.0122095916401179
19841,24878,218457,0.9995574249320202,32907,5,29822,816701,4,27.40580368041992,1.0,RippleNet,knowledge,0.0045534510547537
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,BPR,general,0.0154964349140645
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,CFKG,knowledge,0.0049779607209721
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,CKE,knowledge,0.0108744977912786
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,DGCF,general,0.1983365734519973
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,DMF,general,0.0117515956530632
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,ItemKNN,general,0.0038218063227739
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,KGCN,knowledge,0.0221564977082574
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,KGNNLS,knowledge,0.023048706757197
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,LINE,general,0.004752255720214
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,LightGCN,general,0.0277827587857683
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,MultiDAE,general,0.016600828537284
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,NGCF,general,0.0242077296131879
19841,33653,440620,0.9993401019218887,42031,5,38491,816701,4,27.40580368041992,1.0,RippleNet,knowledge,0.0075995506158942
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,BPR,general,0.0184334662347554
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,CFKG,knowledge,0.0107659617213041
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,CKE,knowledge,0.0174549949993273
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,DGCF,general,0.4855104207695078
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,DMF,general,0.0095612664395371
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,ItemKNN,general,0.005500647685646
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,KGCN,knowledge,0.019123605831716
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,KGNNLS,knowledge,0.0195014560672233
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,LINE,general,0.0073710742696559
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,LightGCN,general,0.0482263431633775
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,MultiDAE,general,0.0260080000769559
